C61	C62	C63	C64	C91	C92	C93	C94	I561	I562	I563	I564	I591	I592	I593	I594	I861	I862	I863	I864	I891	I892	I893	I894
AT1G01010	322	346	256	396	372	506	361	342	638	488	440	479	770	430	656	467	143	453	429	206	567	458	520	474
AT1G01020	149	87	162	144	189	169	147	108	163	141	119	147	182	156	153	177	43	144	114	50	161	195	157	144
AT1G01030	15	32	35	22	24	33	21	35	18	8	54	35	23	8	16	24	42	17	22	39	26	28	39	30
AT1G01040	687	469	568	651	885	978	794	862	799	769	725	715	811	567	831	694	345	575	605	404	735	651	725	591
AT1G01046	1	1	5	4	5	3	0	2	4	3	1	0	2	8	8	1	0	4	0	3	5	7	0	5
AT1G01050	1447	1032	1083	1204	1413	1484	1138	938	1247	1516	984	1044	1374	1355	1437	1577	412	1338	1051	621	1434	1552	1248	1186
AT1G01060	2667	2472	2881	2632	5120	6176	7088	6810	2258	1808	2279	2299	4755	3128	4419	3726	1452	1516	1455	1429	3867	4718	4580	3575
AT1G01070	297	226	325	341	199	180	195	107	377	534	300	223	298	318	397	373	86	266	281	164	230	270	220	229
AT1G01073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080	74	79	138	85	68	41	110	81	72	76	184	156	96	70	77	77	174	113	69	176	69	80	81	62
AT1G01090	3396	2794	2783	3430	2728	2462	2661	2036	4130	3639	2797	3414	2918	2746	3539	3440	1755	3140	3037	2416	3427	3997	2645	2652
AT1G01100	4222	2757	4084	3815	5159	3763	3380	2178	3005	4549	2771	3002	4888	4571	4265	5756	1779	4237	2316	1870	5178	6192	4003	3819
AT1G01110	149	95	118	116	224	173	148	93	60	94	43	84	155	154	127	152	44	99	63	42	153	183	120	103
AT1G01115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01120	1935	2728	1769	2386	1006	1460	1594	1392	2903	2623	1841	2414	1499	1060	1635	1588	1435	1714	2101	1646	1522	1489	1523	1518
AT1G01130	19	19	15	15	15	5	7	7	6	12	6	13	12	12	18	17	6	21	10	9	13	11	17	7
AT1G01140	21	67	218	52	68	6	110	86	27	27	259	203	57	12	21	2	187	78	20	284	34	69	53	22
AT1G01150	0	0	0	0	1	4	2	4	0	2	0	0	0	3	2	9	1	0	1	0	0	0	2	3
AT1G01160	517	326	488	532	483	501	439	339	405	542	388	398	415	400	422	539	153	426	377	223	503	573	399	431
AT1G01170	77	88	147	107	130	95	144	146	78	116	198	161	106	78	93	80	149	80	54	144	66	79	88	53
